from,to,relationship,year
fb,eu,3,
tl,eu,3,
fb,hbs,3,
fb,afsj,2,2013
fb,aa,2,2013
fb,epfa,2,2009
fb,aag,2,2009
fb,um,7,2010
rs,kw,3,2017
rs,bum,2,2013
ck,av,2,2013
co,av,2,2017
ck,ha,2,2017
ck,ut,6,2009
ck,ut,7,
ck,bum,2,2021
co,sep,3,2021
co,hbs,3,2021
co,gssf,3,2021
co,ths,3,2018
co,afwe,2,2013
co,lg,2,1989
co,epfa,2,2004
co,aag,2,2004
mt,ths,3,2018
mt,sep,3,2018
mt,kw,3,2020
mt,eu,3,
mt,ha,2,2011
mt,afwe,2,2017
mt,juli,2,1983
mt,lfdp,2,1991
mt,bfdp,2,2003
mt,fdpbt,2,2017
fb,eha,2,2009
mt,eha,2,2014
mt,av,2,
tl,ha,2,2013
tl,ua,2,2017
ft,kw,3,2020
ft,gssf,3,2021
ft,eu,3,
ft,ha,2,2009
ft,fdpbt,2,2011
ft,bfdp,2,2020
ft,juli,2,2003
ft,ut,7,2012
bs,eu,3,
bs,ua,2,2017
bs,juli,2,2005
bs,lfdp,2,2013
jb,fdpbt,2,2017
jb,afsj,2,2017
jb,eu,3,
jb,um,7,2003
